timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-16,189.9100,192.4690,188.8400,190.0800,189.3605,33031400,0.0000,1.0000
2019-05-15,186.2700,191.7500,186.0200,190.9200,190.1974,26544700,0.0000,1.0000
2019-05-14,186.4100,189.7000,185.4100,188.6600,187.9459,36529700,0.0000,1.0000
2019-05-13,187.7167,189.4800,182.8500,185.7200,185.0170,57430600,0.0000,1.0000
2019-05-10,197.4190,198.8440,192.7700,197.1800,196.4337,41208700,0.7700,1.0000
2019-05-09,200.3916,201.6800,196.6600,200.7200,199.1932,34908600,0.0000,1.0000
2019-05-08,201.8958,205.3400,201.7500,202.9000,201.3566,26339500,0.0000,1.0000
2019-05-07,205.8800,207.4170,200.8250,202.8600,201.3169,38763700,0.0000,1.0000
2019-05-06,204.2900,208.8400,203.4871,208.4800,206.8941,32443100,0.0000,1.0000
2019-05-03,210.8900,211.8400,210.2300,211.7500,210.1393,20892400,0.0000,1.0000
2019-05-02,209.8400,212.6500,208.1300,209.1500,207.5591,31996300,0.0000,1.0000
2019-05-01,209.8800,215.3100,209.2300,210.5200,208.9186,64827300,0.0000,1.0000
2019-04-30,203.0600,203.4000,199.1100,200.6700,199.1435,46534900,0.0000,1.0000
2019-04-29,204.4000,205.9700,203.8600,204.6100,203.0536,22204700,0.0000,1.0000
2019-04-26,204.9000,205.0000,202.1200,204.3000,202.7459,18649100,0.0000,1.0000
2019-04-25,206.8300,207.7820,205.1200,205.2800,203.7185,18543200,0.0000,1.0000
2019-04-24,207.3600,208.4800,207.0500,207.1600,205.5842,17540600,0.0000,1.0000
2019-04-23,204.4300,207.7500,203.9000,207.4800,205.9017,23323000,0.0000,1.0000
2019-04-22,202.8300,204.9259,202.3400,204.5300,202.9742,19439500,0.0000,1.0000
2019-04-18,203.1200,204.1500,202.5200,203.8600,202.3093,24195800,0.0000,1.0000
2019-04-17,199.5400,203.3800,198.6100,203.1300,201.5848,28906800,0.0000,1.0000
2019-04-16,199.4614,201.3700,198.5600,199.2500,197.7343,25696400,0.0000,1.0000
2019-04-15,198.5800,199.8500,198.0100,199.2300,197.7145,17536600,0.0000,1.0000
2019-04-12,199.2000,200.1400,196.2100,198.8700,197.3572,27760700,0.0000,1.0000
2019-04-11,200.8500,201.0000,198.4430,198.9500,197.4366,20900800,0.0000,1.0000
2019-04-10,198.6761,200.7400,198.1800,200.6200,199.0939,21695300,0.0000,1.0000
2019-04-09,200.3200,202.8500,199.2300,199.5000,197.9825,35768200,0.0000,1.0000
2019-04-08,196.4200,200.2300,196.3400,200.1000,198.5779,25881700,0.0000,1.0000
2019-04-05,196.4500,197.1000,195.9300,197.0000,195.5015,18526600,0.0000,1.0000
2019-04-04,194.7900,196.3714,193.1400,195.6900,194.2014,19114300,0.0000,1.0000
2019-04-03,193.2500,196.5000,193.1500,195.3500,193.8640,23271800,0.0000,1.0000
